customer_id,customer_name,region,customer_segment
C0001,Customer 1,South,Corporate
C0002,Customer 2,West,Consumer
C0003,Customer 3,West,Consumer
C0004,Customer 4,East,Corporate
C0005,Customer 5,North,Corporate
C0006,Customer 6,North,Consumer
C0007,Customer 7,North,Home Office
C0008,Customer 8,West,Corporate
C0009,Customer 9,East,Home Office
C0010,Customer 10,West,Corporate
C0011,Customer 11,North,Corporate
C0012,Customer 12,West,Consumer
C0013,Customer 13,West,Home Office
C0014,Customer 14,North,Home Office
C0015,Customer 15,North,Consumer
C0016,Customer 16,North,Consumer
C0017,Customer 17,South,Consumer
C0018,Customer 18,East,Corporate
C0019,Customer 19,South,Home Office
C0020,Customer 20,South,Consumer
C0021,Customer 21,East,Consumer
C0022,Customer 22,North,Consumer
C0023,Customer 23,South,Home Office
C0024,Customer 24,South,Corporate
C0025,Customer 25,South,Corporate
C0026,Customer 26,West,Consumer
C0027,Customer 27,North,Consumer
C0028,Customer 28,East,Consumer
C0029,Customer 29,East,Consumer
C0030,Customer 30,North,Home Office
C0031,Customer 31,East,Corporate
C0032,Customer 32,North,Home Office
C0033,Customer 33,North,Home Office
C0034,Customer 34,West,Consumer
C0035,Customer 35,West,Corporate
C0036,Customer 36,West,Home Office
C0037,Customer 37,South,Corporate
C0038,Customer 38,North,Consumer
C0039,Customer 39,East,Consumer
C0040,Customer 40,South,Consumer
C0041,Customer 41,North,Home Office
C0042,Customer 42,South,Corporate
C0043,Customer 43,North,Consumer
C0044,Customer 44,West,Corporate
C0045,Customer 45,South,Corporate
C0046,Customer 46,East,Consumer
C0047,Customer 47,South,Consumer
C0048,Customer 48,East,Corporate
C0049,Customer 49,East,Consumer
C0050,Customer 50,North,Corporate
C0051,Customer 51,West,Consumer
C0052,Customer 52,West,Home Office
C0053,Customer 53,West,Consumer
C0054,Customer 54,West,Consumer
C0055,Customer 55,East,Home Office
C0056,Customer 56,West,Consumer
C0057,Customer 57,North,Consumer
C0058,Customer 58,North,Consumer
C0059,Customer 59,North,Corporate
C0060,Customer 60,South,Corporate
C0061,Customer 61,South,Corporate
C0062,Customer 62,South,Consumer
C0063,Customer 63,West,Consumer
C0064,Customer 64,South,Consumer
C0065,Customer 65,South,Consumer
C0066,Customer 66,East,Consumer
C0067,Customer 67,North,Consumer
C0068,Customer 68,West,Consumer
C0069,Customer 69,North,Home Office
C0070,Customer 70,West,Consumer
C0071,Customer 71,West,Consumer
C0072,Customer 72,North,Corporate
C0073,Customer 73,North,Consumer
C0074,Customer 74,West,Corporate
C0075,Customer 75,West,Home Office
C0076,Customer 76,West,Home Office
C0077,Customer 77,West,Consumer
C0078,Customer 78,North,Home Office
C0079,Customer 79,South,Consumer
C0080,Customer 80,North,Consumer
C0081,Customer 81,West,Consumer
C0082,Customer 82,East,Home Office
C0083,Customer 83,South,Consumer
C0084,Customer 84,North,Consumer
C0085,Customer 85,South,Corporate
C0086,Customer 86,South,Consumer
