month,product_id,stock_quantity
2025-01-01,P001,228
2025-01-01,P002,386
2025-01-01,P003,283
2025-01-01,P004,298
2025-01-01,P005,181
2025-01-01,P006,298
2025-01-01,P007,342
2025-01-01,P008,112
2025-01-01,P009,356
2025-01-01,P010,441
2025-01-01,P011,306
2025-01-01,P012,297
2025-01-01,P013,313
2025-01-01,P014,386
2025-01-01,P015,410
2025-01-01,P016,488
2025-01-01,P017,417
2025-01-01,P018,442
2025-01-01,P019,228
2025-01-01,P020,449
2025-02-01,P001,486
2025-02-01,P002,364
2025-02-01,P003,350
2025-02-01,P004,214
2025-02-01,P005,140
2025-02-01,P006,371
2025-02-01,P007,241
2025-02-01,P008,341
2025-02-01,P009,125
2025-02-01,P010,355
2025-02-01,P011,148
2025-02-01,P012,144
2025-02-01,P013,230
2025-02-01,P014,490
2025-02-01,P015,452
2025-02-01,P016,203
2025-02-01,P017,423
2025-02-01,P018,405
2025-02-01,P019,373
2025-02-01,P020,161
2025-03-01,P001,220
2025-03-01,P002,302
2025-03-01,P003,432
2025-03-01,P004,400
2025-03-01,P005,171
2025-03-01,P006,491
2025-03-01,P007,254
2025-03-01,P008,294
2025-03-01,P009,176
2025-03-01,P010,408
2025-03-01,P011,364
2025-03-01,P012,95
2025-03-01,P013,345
2025-03-01,P014,285
2025-03-01,P015,190
2025-03-01,P016,170
2025-03-01,P017,410
2025-03-01,P018,58
2025-03-01,P019,115
2025-03-01,P020,358
2025-04-01,P001,130
2025-04-01,P002,309
2025-04-01,P003,431
2025-04-01,P004,447
2025-04-01,P005,154
2025-04-01,P006,441
2025-04-01,P007,146
2025-04-01,P008,239
2025-04-01,P009,478
2025-04-01,P010,397
2025-04-01,P011,244
2025-04-01,P012,495
2025-04-01,P013,383
2025-04-01,P014,132
2025-04-01,P015,300
2025-04-01,P016,119
2025-04-01,P017,341
2025-04-01,P018,389
2025-04-01,P019,434
2025-04-01,P020,237
2025-05-01,P001,190
2025-05-01,P002,189
2025-05-01,P003,124
2025-05-01,P004,149
2025-05-01,P005,194
2025-05-01,P006,224
2025-05-01,P007,358
2025-05-01,P008,270
2025-05-01,P009,372
2025-05-01,P010,59
2025-05-01,P011,95
2025-05-01,P012,388
2025-05-01,P013,166
2025-05-01,P014,53
2025-05-01,P015,362
2025-05-01,P016,287
2025-05-01,P017,343
2025-05-01,P018,445
2025-05-01,P019,80
2025-05-01,P020,179
2025-06-01,P001,290
2025-06-01,P002,434
2025-06-01,P003,130
2025-06-01,P004,74
2025-06-01,P005,310
2025-06-01,P006,97
2025-06-01,P007,447
2025-06-01,P008,101
2025-06-01,P009,379
2025-06-01,P010,198
2025-06-01,P011,458
2025-06-01,P012,148
2025-06-01,P013,116
2025-06-01,P014,259
2025-06-01,P015,297
2025-06-01,P016,168
2025-06-01,P017,483
2025-06-01,P018,277
2025-06-01,P019,152
2025-06-01,P020,338
2025-07-01,P001,289
2025-07-01,P002,450
2025-07-01,P003,281
2025-07-01,P004,339
2025-07-01,P005,203
2025-07-01,P006,219
2025-07-01,P007,208
2025-07-01,P008,162
2025-07-01,P009,100
2025-07-01,P010,85
2025-07-01,P011,62
2025-07-01,P012,390
2025-07-01,P013,267
2025-07-01,P014,292
2025-07-01,P015,272
2025-07-01,P016,257
2025-07-01,P017,318
2025-07-01,P018,271
2025-07-01,P019,337
2025-07-01,P020,438
2025-08-01,P001,61
2025-08-01,P002,236
2025-08-01,P003,218
2025-08-01,P004,342
2025-08-01,P005,373
2025-08-01,P006,155
2025-08-01,P007,225
2025-08-01,P008,476
2025-08-01,P009,398
2025-08-01,P010,90
2025-08-01,P011,361
2025-08-01,P012,374
2025-08-01,P013,298
2025-08-01,P014,316
2025-08-01,P015,271
2025-08-01,P016,442
2025-08-01,P017,162
2025-08-01,P018,333
2025-08-01,P019,327
2025-08-01,P020,252
2025-09-01,P001,390
2025-09-01,P002,311
2025-09-01,P003,331
2025-09-01,P004,193
2025-09-01,P005,292
2025-09-01,P006,319
2025-09-01,P007,84
2025-09-01,P008,347
2025-09-01,P009,102
2025-09-01,P010,405
2025-09-01,P011,199
2025-09-01,P012,486
2025-09-01,P013,499
2025-09-01,P014,62
2025-09-01,P015,316
2025-09-01,P016,445
