month,region,marketing_spend,impressions,campaign_clicks
2025-01-01,North,23603,811,136
2025-01-01,South,29115,1132,205
2025-01-01,East,47462,4181,464
2025-01-01,West,36118,1271,413
2025-02-01,North,49967,3087,489
2025-02-01,South,35062,2279,414
2025-02-01,East,32791,529,436
2025-02-01,West,18321,4714,376
2025-03-01,North,13983,3641,257
2025-03-01,South,19173,4802,455
2025-03-01,East,49679,2671,161
2025-03-01,West,25566,1909,243
2025-04-01,North,48640,3279,387
2025-04-01,South,30583,3100,105
2025-04-01,East,26182,3474,176
2025-04-01,West,17498,1347,433
2025-05-01,North,33084,1484,133
2025-05-01,South,20270,4118,296
2025-05-01,East,11553,2502,474
2025-05-01,West,40743,997,391
2025-06-01,North,11421,3974,365
2025-06-01,South,35117,1288,459
2025-06-01,East,19418,749,152
2025-06-01,West,32562,3895,435
2025-07-01,North,43299,1058,133
2025-07-01,South,27675,3624,322
2025-07-01,East,46881,1627,201
2025-07-01,West,13911,1607,357
2025-08-01,North,49264,2187,405
2025-08-01,South,30855,4803,99
2025-08-01,East,26091,3975,96
2025-08-01,West,28961,3032,171
2025-09-01,North,44797,1643,300
2025-09-01,South,48186,4243,56
2025-09-01,East,24580,4298,261
2025-09-01,West,14819,717,300
2025-10-01,North,46183,2216,141
2025-10-01,South,34281,789,139
2025-10-01,East,37319,1109,355
2025-10-01,West,26919,3791,223
2025-11-01,North,18948,4349,439
2025-11-01,South,31214,4391,284
2025-11-01,East,47997,3495,62
2025-11-01,West,21900,2714,102
2025-12-01,North,35785,775,496
2025-12-01,South,24687,646,366
2025-12-01,East,27235,987,67
2025-12-01,West,40072,2261,161
2026-01-01,North,18775,4810,126
2026-01-01,South,38697,4313,242
2026-01-01,East,40657,2650,254
2026-01-01,West,24746,3702,392
2026-02-01,North,17745,1923,251
2026-02-01,South,22059,4895,195
2026-02-01,East,24251,1415,361
2026-02-01,West,16647,2411,153
2026-03-01,North,38277,1839,248
2026-03-01,South,24764,4417,470
2026-03-01,East,26881,3448,328
2026-03-01,West,18201,3598,148
2026-04-01,North,12816,826,420
2026-04-01,South,28055,1237,176
2026-04-01,East,15235,1423,339
2026-04-01,West,24547,4982,314
2026-05-01,North,19345,2570,228
2026-05-01,South,16544,1420,460
2026-05-01,East,32856,1943,461
2026-05-01,West,45569,2275,78
2026-06-01,North,28676,4203,475
2026-06-01,South,43593,4241,109
2026-06-01,East,34714,4952,261
2026-06-01,West,27546,3939,160
