order_id,order_date,customer_id,product_id,quantity,price,region,revenue
O000001,2025-12-01,C0331,P014,2,1059.0,South,2118.0
O000002,2026-06-03,C0105,P014,3,1059.0,West,3177.0
O000003,2025-05-17,C0404,P013,1,797.0,West,797.0
O000004,2026-05-13,C0404,P004,1,680.0,West,680.0
O000005,2026-04-22,C0127,P013,3,797.0,West,2391.0
O000006,2025-08-11,C0265,P017,2,1000.0,West,2000.0
O000007,2026-01-07,C0200,P015,1,730.0,West,730.0
O000008,2026-02-06,C0252,P018,4,1129.0,South,4516.0
O000009,2026-03-19,C0015,P011,4,508.0,North,2032.0
O000010,2026-05-05,C0226,P004,1,680.0,North,680.0
O000011,2025-09-30,C0472,P020,2,410.0,West,820.0
O000012,2026-06-10,C0353,P011,4,508.0,East,2032.0
O000013,2025-06-08,C0105,P010,4,1132.0,West,4528.0
O000014,2025-06-01,C0233,P013,3,797.0,East,2391.0
O000015,2025-07-07,C0493,P008,2,729.0,South,1458.0
O000016,2025-04-08,C0319,P013,1,797.0,North,797.0
O000017,2025-05-11,C0488,P009,3,485.0,South,1455.0
O000018,2025-06-20,C0219,P001,3,31.0,East,93.0
O000019,2025-07-02,C0277,P001,3,31.0,West,93.0
O000020,2025-12-30,C0261,P015,2,730.0,East,1460.0
O000021,2025-02-08,C0381,P004,2,680.0,North,1360.0
O000022,2026-06-11,C0419,P020,2,410.0,East,820.0
O000023,2026-05-12,C0341,P001,1,31.0,South,31.0
O000024,2026-05-31,C0452,P012,2,66.0,East,132.0
O000025,2025-12-15,C0369,P011,3,508.0,North,1524.0
O000026,2026-02-01,C0432,P019,4,269.0,West,1076.0
O000027,2025-06-10,C0336,P015,1,730.0,North,730.0
O000028,2025-01-16,C0479,P010,1,1132.0,West,1132.0
O000029,2026-05-08,C0474,P001,1,31.0,West,31.0
O000030,2026-03-02,C0190,P003,3,358.0,North,1074.0
O000031,2025-04-18,C0372,P014,2,1059.0,North,2118.0
O000032,2026-03-26,C0419,P015,3,730.0,East,2190.0
O000033,2025-11-07,C0198,P001,4,31.0,West,124.0
O000034,2025-06-19,C0353,P010,2,1132.0,East,2264.0
O000035,2026-06-30,C0277,P001,2,31.0,West,62.0
O000036,2026-02-18,C0336,P015,1,730.0,North,730.0
O000037,2025-09-08,C0495,P003,1,358.0,South,358.0
O000038,2025-05-21,C0039,P020,3,410.0,East,1230.0
O000039,2025-10-01,C0162,P012,2,66.0,East,132.0
O000040,2026-02-20,C0490,P019,1,269.0,West,269.0
O000041,2025-02-08,C0121,P016,3,420.0,West,1260.0
O000042,2025-01-29,C0380,P008,4,729.0,South,2916.0
O000043,2026-04-22,C0399,P014,3,1059.0,West,3177.0
O000044,2025-11-14,C0262,P018,2,1129.0,West,2258.0
O000045,2025-09-02,C0450,P001,2,31.0,North,62.0
O000046,2025-09-29,C0216,P002,2,235.0,North,470.0
O000047,2026-03-16,C0312,P012,1,66.0,North,66.0
O000048,2025-08-27,C0049,P017,3,1000.0,East,3000.0
O000049,2026-01-12,C0092,P002,4,235.0,West,940.0
O000050,2025-09-23,C0129,P017,2,1000.0,North,2000.0
O000051,2025-12-25,C0321,P007,3,995.0,East,2985.0
O000052,2025-12-06,C0028,P006,1,393.0,East,393.0
O000053,2026-01-24,C0356,P006,4,393.0,East,1572.0
O000054,2025-01-03,C0148,P008,4,729.0,East,2916.0
O000055,2026-03-05,C0432,P005,4,1124.0,West,4496.0
O000056,2025-05-22,C0328,P015,1,730.0,East,730.0
O000057,2026-01-11,C0065,P007,2,995.0,South,1990.0
O000058,2025-11-20,C0218,P003,1,358.0,West,358.0
O000059,2025-05-26,C0051,P010,4,1132.0,West,4528.0
O000060,2025-10-20,C0427,P003,3,358.0,South,1074.0
O000061,2026-03-08,C0305,P014,4,1059.0,West,4236.0
O000062,2026-02-03,C0409,P003,3,358.0,West,1074.0
O000063,2025-12-10,C0074,P001,1,31.0,West,31.0
O000064,2025-05-20,C0460,P001,1,31.0,North,31.0
O000065,2025-07-06,C0425,P019,1,269.0,North,269.0
O000066,2025-03-02,C0199,P004,3,680.0,West,2040.0
O000067,2026-01-15,C0192,P002,1,235.0,West,235.0
O000068,2026-03-16,C0189,P011,2,508.0,East,1016.0
O000069,2025-11-15,C0012,P012,4,66.0,West,264.0
O000070,2025-10-29,C0239,P013,2,797.0,East,1594.0
O000071,2025-12-10,C0360,P016,3,420.0,East,1260.0
O000072,2025-01-11,C0081,P016,1,420.0,West,420.0
O000073,2025-03-03,C0453,P019,4,269.0,South,1076.0
O000074,2025-08-14,C0383,P020,1,410.0,East,410.0
O000075,2025-06-02,C0270,P020,1,410.0,South,410.0
O000076,2025-11-06,C0290,P009,4,485.0,East,1940.0
O000077,2025-08-31,C0048,P016,4,420.0,East,1680.0
O000078,2026-05-08,C0317,P007,2,995.0,South,1990.0
O000079,2026-01-01,C0209,P013,2,797.0,North,1594.0
O000080,2025-11-26,C0035,P004,2,680.0,West,1360.0
O000081,2025-04-17,C0119,P013,2,797.0,West,1594.0
O000082,2025-08-14,C0065,P008,2,729.0,South,1458.0
O000083,2025-08-06,C0315,P002,3,235.0,West,705.0
O000084,2026-05-21,C0242,P007,3,995.0,West,2985.0
O000085,2025-09-16,C0498,P011,1,508.0,North,508.0
O000086,2026-06-01,C0036,P017,1,1000.0,West,1000.0
O000087,2025-02-23,C0463,P014,2,1059.0,West,2118.0
O000088,2025-02-16,C0252,P013,1,797.0,South,797.0
O000089,2026-06-05,C0403,P015,3,730.0,East,2190.0
O000090,2025-04-09,C0243,P009,3,485.0,West,1455.0
O000091,2025-01-20,C0042,P003,1,358.0,South,358.0
O000092,2026-05-05,C0069,P013,2,797.0,North,1594.0
O000093,2026-02-23,C0403,P013,3,797.0,East,2391.0
O000094,2025-03-03,C0107,P009,4,485.0,South,1940.0
O000095,2025-05-25,C0039,P018,4,1129.0,East,4516.0
O000096,2025-08-04,C0069,P005,1,1124.0,North,1124.0
O000097,2025-01-03,C0180,P011,2,508.0,North,1016.0
O000098,2025-06-09,C0012,P002,1,235.0,West,235.0
O000099,2025-04-30,C0339,P017,2,1000.0,South,2000.0
O000100,2025-03-30,C0431,P020,2,410.0,North,820.0
O000101,2025-11-25,C0204,P004,4,680.0,West,2720.0
O000102,2025-12-23,C0036,P018,3,1129.0,West,3387.0
O000103,2025-09-24,C0126,P020,3,410.0,South,1230.0
O000104,2025-11-19,C0063,P008,1,729.0,West,729.0
O000105,2026-06-25,C0332,P019,1,269.0,West,269.0
O000106,2025-07-14,C0082,P012,2,66.0,East,132.0
O000107,2025-11-28,C0497,P011,3,508.0,East,1524.0
O000108,2025-06-19,C0307,P016,2,420.0,East,840.0
O000109,2026-06-05,C0496,P005,4,1124.0,South,4496.0
O000110,2026-04-08,C0299,P003,4,358.0,East,1432.0
O000111,2025-02-09,C0034,P012,2,66.0,West,132.0
O000112,2026-06-21,C0240,P015,2,730.0,North,1460.0
O000113,2025-09-18,C0097,P016,2,420.0,East,840.0
O000114,2026-01-30,C0049,P013,2,797.0,East,1594.0
O000115,2025-08-14,C0146,P007,2,995.0,North,1990.0
O000116,2025-05-04,C0125,P015,4,730.0,North,2920.0
O000117,2025-02-07,C0189,P003,4,358.0,East,1432.0
O000118,2025-11-24,C0057,P012,4,66.0,North,264.0
O000119,2025-09-08,C0349,P008,1,729.0,South,729.0
O000120,2025-06-25,C0109,P012,4,66.0,North,264.0
O000121,2026-03-30,C0005,P018,3,1129.0,North,3387.0
O000122,2025-02-06,C0473,P003,3,358.0,North,1074.0
O000123,2025-11-12,C0024,P012,2,66.0,South,132.0
O000124,2025-04-24,C0221,P002,4,235.0,East,940.0
O000125,2025-02-09,C0448,P014,2,1059.0,West,2118.0
O000126,2025-10-28,C0315,P014,2,1059.0,West,2118.0
O000127,2025-08-12,C0294,P004,3,680.0,South,2040.0
O000128,2025-11-14,C0417,P017,3,1000.0,South,3000.0
O000129,2025-12-15,C0010,P015,2,730.0,West,1460.0
O000130,2025-04-25,C0165,P016,3,420.0,North,1260.0
O000131,2025-11-19,C0481,P005,2,1124.0,East,2248.0
O000132,2025-02-09,C0215,P017,2,1000.0,West,2000.0
O000133,2025-02-09,C0126,P007,2,995.0,South,1990.0
O000134,2025-10-16,C0267,P015,1,730.0,East,730.0
O000135,2025-09-19,C0280,P017,3,1000.0,West,3000.0
O000136,2025-08-04,C0088,P012,3,66.0,East,198.0
O000137,2025-05-27,C0455,P011,4,508.0,North,2032.0
O000138,2025-12-02,C0114,P019,3,269.0,West,807.0
O000139,2025-06-17,C0021,P011,4,508.0,East,2032.0
O000140,2025-04-02,C0148,P002,2,235.0,East,470.0
O000141,2025-12-19,C0245,P015,1,730.0,North,730.0
O000142,2025-12-29,C0266,P005,2,1124.0,West,2248.0
O000143,2025-12-11,C0217,P018,2,1129.0,South,2258.0
O000144,2025-06-19,C0431,P016,2,420.0,North,840.0
O000145,2025-12-22,C0484,P004,4,680.0,East,2720.0
O000146,2025-07-10,C0240,P010,1,1132.0,North,1132.0
O000147,2026-02-26,C0431,P002,2,235.0,North,470.0
O000148,2025-01-07,C0399,P015,4,730.0,West,2920.0
O000149,2025-05-13,C0428,P004,2,680.0,West,1360.0
O000150,2025-01-31,C0232,P016,1,420.0,East,420.0
O000151,2026-06-19,C0232,P007,2,995.0,East,1990.0
O000152,2026-03-02,C0242,P012,2,66.0,West,132.0
