ticket_id,ticket_date,region,issue_type
T00000,2026-05-01,North,Payment Problem
T00001,2025-06-27,North,Delivery Delay
T00002,2025-04-23,East,Out of Stock
T00003,2026-06-28,South,Delivery Delay
T00004,2025-06-16,East,Refund Request
T00005,2025-11-09,East,Product Issue
T00006,2026-04-16,East,Out of Stock
T00007,2025-11-13,South,Payment Problem
T00008,2025-03-27,West,Product Issue
T00009,2026-05-05,North,Delivery Delay
T00010,2026-02-28,East,Payment Problem
T00011,2025-09-15,West,Payment Problem
T00012,2025-07-10,West,Product Issue
T00013,2025-10-03,North,Delivery Delay
T00014,2025-11-02,East,Product Issue
T00015,2025-04-15,South,Refund Request
T00016,2025-12-15,West,Product Issue
T00017,2025-11-15,West,Payment Problem
T00018,2025-02-26,West,Refund Request
T00019,2026-03-03,North,Delivery Delay
T00020,2025-05-20,South,Product Issue
T00021,2026-03-07,South,Out of Stock
T00022,2026-02-04,South,Refund Request
T00023,2026-06-25,South,Payment Problem
T00024,2026-06-10,South,Product Issue
T00025,2026-02-23,North,Refund Request
T00026,2026-05-09,East,Out of Stock
T00027,2025-03-26,South,Payment Problem
T00028,2026-06-23,West,Out of Stock
T00029,2025-06-20,South,Product Issue
T00030,2025-01-20,North,Refund Request
T00031,2025-07-16,East,Out of Stock
T00032,2025-01-12,North,Out of Stock
T00033,2025-10-23,East,Delivery Delay
T00034,2026-01-10,East,Refund Request
T00035,2026-05-15,South,Refund Request
T00036,2025-02-13,North,Product Issue
T00037,2026-03-21,North,Product Issue
T00038,2025-05-29,East,Out of Stock
T00039,2025-03-04,West,Product Issue
T00040,2026-05-18,East,Payment Problem
T00041,2026-06-04,East,Refund Request
T00042,2026-03-02,South,Out of Stock
T00043,2026-05-17,West,Out of Stock
T00044,2025-06-30,North,Delivery Delay
T00045,2026-01-09,South,Product Issue
T00046,2025-03-16,South,Delivery Delay
T00047,2025-06-17,East,Delivery Delay
T00048,2025-10-20,West,Payment Problem
T00049,2025-06-17,North,Delivery Delay
T00050,2026-01-01,North,Out of Stock
T00051,2026-02-26,East,Refund Request
T00052,2025-03-24,North,Out of Stock
T00053,2026-05-04,West,Out of Stock
T00054,2025-03-20,West,Refund Request
T00055,2025-05-31,West,Product Issue
T00056,2025-01-15,North,Out of Stock
T00057,2026-01-23,East,Refund Request
T00058,2025-10-10,North,Delivery Delay
T00059,2026-06-09,North,Out of Stock
T00060,2025-09-15,South,Refund Request
T00061,2026-03-19,South,Refund Request
T00062,2025-10-01,West,Delivery Delay
T00063,2025-11-18,North,Product Issue
T00064,2026-05-14,West,Delivery Delay
T00065,2026-05-21,East,Refund Request
T00066,2025-09-22,North,Out of Stock
T00067,2026-02-20,North,Out of Stock
T00068,2026-01-23,West,Payment Problem
T00069,2025-04-20,South,Out of Stock
T00070,2025-07-12,East,Refund Request
T00071,2025-07-08,North,Out of Stock
T00072,2026-04-23,East,Refund Request
T00073,2025-07-17,West,Out of Stock
